image_name,fruit,stage,fruit_id,ripeness_id,days_remaining,relative_path
78.jpg,banana,unripe,1,0,6.03,banana\Unripe\78.jpg
478.jpg,banana,fresh,1,1,3.01,banana\Fresh\478.jpg
489.jpg,mango,rotten,2,2,0.0,mango\Rotten\489.jpg
184.jpg,mango,rotten,2,2,0.66,mango\Rotten\184.jpg
84.jpg,papaya,rotten,4,2,0.42,papaya\Rotten\84.jpg
70.jpg,pineapple,rotten,5,2,0.09,pineapple\Rotten\70.jpg
214.jpg,pineapple,fresh,5,1,3.04,pineapple\Fresh\214.jpg
653.jpg,apple,rotten,0,2,-1.32,apple\Rotten\653.jpg
558.jpg,mango,unripe,2,0,6.8,mango\Unripe\558.jpg
134.jpg,pineapple,unripe,5,0,6.4,pineapple\Unripe\134.jpg
170.jpg,orange,fresh,3,1,4.94,orange\Fresh\170.jpg
49.jpg,banana,fresh,1,1,2.73,banana\Fresh\49.jpg
94.jpg,papaya,unripe,4,0,4.94,papaya\Unripe\94.jpg
391.jpg,mango,fresh,2,1,3.11,mango\Fresh\391.jpg
205.jpg,mango,rotten,2,2,0.02,mango\Rotten\205.jpg
80.jpg,mango,fresh,2,1,3.24,mango\Fresh\80.jpg
465.jpg,papaya,fresh,4,1,2.26,papaya\Fresh\465.jpg
601.jpg,apple,unripe,0,0,10.44,apple\Unripe\601.jpg
494.jpg,mango,unripe,2,0,6.82,mango\Unripe\494.jpg
360.jpg,apple,fresh,0,1,5.13,apple\Fresh\360.jpg
47.jpg,banana,rotten,1,2,0.67,banana\Rotten\47.jpg
316.jpg,banana,fresh,1,1,3.28,banana\Fresh\316.jpg
116.jpg,banana,rotten,1,2,-2.0,banana\Rotten\116.jpg
167.jpg,orange,fresh,3,1,4.94,orange\Fresh\167.jpg
292.jpg,orange,rotten,3,2,0.38,orange\Rotten\292.jpg
119.jpg,orange,fresh,3,1,5.03,orange\Fresh\119.jpg
77.jpg,mango,fresh,2,1,2.75,mango\Fresh\77.jpg
174.jpg,papaya,fresh,4,1,2.24,papaya\Fresh\174.jpg
658.jpg,banana,rotten,1,2,0.28,banana\Rotten\658.jpg
142.jpg,apple,fresh,0,1,4.92,apple\Fresh\142.jpg
261.jpg,pineapple,rotten,5,2,0.78,pineapple\Rotten\261.jpg
344.jpg,apple,fresh,0,1,4.92,apple\Fresh\344.jpg
635.jpg,papaya,rotten,4,2,0.75,papaya\Rotten\635.jpg
305.jpg,papaya,fresh,4,1,2.02,papaya\Fresh\305.jpg
74.jpg,mango,fresh,2,1,3.11,mango\Fresh\74.jpg
445.jpg,papaya,rotten,4,2,0.7,papaya\Rotten\445.jpg
388.jpg,pineapple,unripe,5,0,5.64,pineapple\Unripe\388.jpg
495.jpg,apple,unripe,0,0,9.73,apple\Unripe\495.jpg
586.jpg,papaya,unripe,4,0,4.63,papaya\Unripe\586.jpg
328.jpg,apple,unripe,0,0,9.96,apple\Unripe\328.jpg
214.jpg,orange,fresh,3,1,5.28,orange\Fresh\214.jpg
4.jpg,orange,fresh,3,1,5.12,orange\Fresh\4.jpg
409.jpg,pineapple,rotten,5,2,0.29,pineapple\Rotten\409.jpg
4.jpg,apple,fresh,0,1,4.99,apple\Fresh\4.jpg
277.jpg,banana,rotten,1,2,0.52,banana\Rotten\277.jpg
435.jpg,mango,unripe,2,0,6.73,mango\Unripe\435.jpg
394.jpg,mango,unripe,2,0,7.12,mango\Unripe\394.jpg
515.jpg,orange,unripe,3,0,7.97,orange\Unripe\515.jpg
631.jpg,apple,unripe,0,0,10.42,apple\Unripe\631.jpg
45.jpg,mango,fresh,2,1,3.05,mango\Fresh\45.jpg
562.jpg,apple,rotten,0,2,0.12,apple\Rotten\562.jpg
117.jpg,pineapple,unripe,5,0,6.04,pineapple\Unripe\117.jpg
306.jpg,apple,fresh,0,1,5.11,apple\Fresh\306.jpg
530.jpg,apple,unripe,0,0,10.3,apple\Unripe\530.jpg
254.jpg,orange,rotten,3,2,0.14,orange\Rotten\254.jpg
358.jpg,pineapple,fresh,5,1,3.01,pineapple\Fresh\358.jpg
612.jpg,banana,rotten,1,2,0.79,banana\Rotten\612.jpg
58.jpg,pineapple,fresh,5,1,2.75,pineapple\Fresh\58.jpg
193.jpg,banana,fresh,1,1,2.97,banana\Fresh\193.jpg
73.jpg,orange,rotten,3,2,0.66,orange\Rotten\73.jpg
312.jpg,papaya,fresh,4,1,1.87,papaya\Fresh\312.jpg
516.jpg,orange,rotten,3,2,0.52,orange\Rotten\516.jpg
85.jpg,banana,rotten,1,2,0.53,banana\Rotten\85.jpg
433.jpg,apple,rotten,0,2,0.35,apple\Rotten\433.jpg
345.jpg,banana,fresh,1,1,2.88,banana\Fresh\345.jpg
419.jpg,papaya,unripe,4,0,4.61,papaya\Unripe\419.jpg
490.jpg,apple,rotten,0,2,0.68,apple\Rotten\490.jpg
515.jpg,banana,fresh,1,1,2.85,banana\Fresh\515.jpg
445.jpg,orange,unripe,3,0,8.24,orange\Unripe\445.jpg
322.jpg,apple,fresh,0,1,5.2,apple\Fresh\322.jpg
247.jpg,apple,unripe,0,0,9.64,apple\Unripe\247.jpg
333.jpg,banana,unripe,1,0,5.77,banana\Unripe\333.jpg
566.jpg,pineapple,rotten,5,2,0.45,pineapple\Rotten\566.jpg
679.jpg,orange,rotten,3,2,0.79,orange\Rotten\679.jpg
635.jpg,mango,rotten,2,2,-2.44,mango\Rotten\635.jpg
479.jpg,pineapple,unripe,5,0,6.33,pineapple\Unripe\479.jpg
307.jpg,apple,fresh,0,1,4.73,apple\Fresh\307.jpg
537.jpg,banana,fresh,1,1,2.98,banana\Fresh\537.jpg
583.jpg,mango,unripe,2,0,7.32,mango\Unripe\583.jpg
405.jpg,pineapple,fresh,5,1,3.2,pineapple\Fresh\405.jpg
161.jpg,apple,unripe,0,0,9.57,apple\Unripe\161.jpg
21.jpg,orange,unripe,3,0,7.79,orange\Unripe\21.jpg
218.jpg,banana,rotten,1,2,0.37,banana\Rotten\218.jpg
35.jpg,mango,unripe,2,0,7.48,mango\Unripe\35.jpg
152.jpg,apple,unripe,0,0,10.41,apple\Unripe\152.jpg
116.jpg,orange,fresh,3,1,4.85,orange\Fresh\116.jpg
313.jpg,orange,fresh,3,1,4.92,orange\Fresh\313.jpg
525.jpg,papaya,fresh,4,1,1.77,papaya\Fresh\525.jpg
495.jpg,mango,rotten,2,2,0.14,mango\Rotten\495.jpg
162.jpg,papaya,rotten,4,2,-1.89,papaya\Rotten\162.jpg
254.jpg,papaya,unripe,4,0,5.09,papaya\Unripe\254.jpg
339.jpg,banana,unripe,1,0,5.82,banana\Unripe\339.jpg
182.jpg,mango,unripe,2,0,6.89,mango\Unripe\182.jpg
180.jpg,apple,rotten,0,2,-1.51,apple\Rotten\180.jpg
166.jpg,pineapple,rotten,5,2,0.26,pineapple\Rotten\166.jpg
40.jpg,banana,rotten,1,2,0.17,banana\Rotten\40.jpg
159.jpg,orange,unripe,3,0,7.53,orange\Unripe\159.jpg
127.jpg,pineapple,unripe,5,0,6.47,pineapple\Unripe\127.jpg
438.jpg,papaya,fresh,4,1,2.01,papaya\Fresh\438.jpg
594.jpg,banana,fresh,1,1,2.98,banana\Fresh\594.jpg
194.jpg,papaya,unripe,4,0,4.98,papaya\Unripe\194.jpg
113.jpg,pineapple,unripe,5,0,5.51,pineapple\Unripe\113.jpg
153.jpg,papaya,unripe,4,0,4.83,papaya\Unripe\153.jpg
514.jpg,apple,rotten,0,2,0.46,apple\Rotten\514.jpg
335.jpg,papaya,unripe,4,0,4.95,papaya\Unripe\335.jpg
134.jpg,papaya,unripe,4,0,4.81,papaya\Unripe\134.jpg
549.jpg,mango,unripe,2,0,6.89,mango\Unripe\549.jpg
123.jpg,papaya,rotten,4,2,0.09,papaya\Rotten\123.jpg
353.jpg,pineapple,fresh,5,1,3.1,pineapple\Fresh\353.jpg
447.jpg,apple,rotten,0,2,-1.43,apple\Rotten\447.jpg
1.jpg,mango,fresh,2,1,2.94,mango\Fresh\1.jpg
485.jpg,banana,fresh,1,1,2.8,banana\Fresh\485.jpg
638.jpg,banana,rotten,1,2,0.36,banana\Rotten\638.jpg
343.jpg,apple,unripe,0,0,10.45,apple\Unripe\343.jpg
3.jpg,pineapple,fresh,5,1,2.73,pineapple\Fresh\3.jpg
317.jpg,pineapple,rotten,5,2,0.18,pineapple\Rotten\317.jpg
354.jpg,mango,unripe,2,0,7.03,mango\Unripe\354.jpg
74.jpg,mango,unripe,2,0,6.9,mango\Unripe\74.jpg
98.jpg,mango,fresh,2,1,3.14,mango\Fresh\98.jpg
453.jpg,orange,fresh,3,1,5.23,orange\Fresh\453.jpg
586.jpg,banana,rotten,1,2,0.53,banana\Rotten\586.jpg
432.jpg,apple,fresh,0,1,5.24,apple\Fresh\432.jpg
215.jpg,pineapple,fresh,5,1,2.75,pineapple\Fresh\215.jpg
295.jpg,banana,rotten,1,2,0.69,banana\Rotten\295.jpg
289.jpg,pineapple,rotten,5,2,-1.99,pineapple\Rotten\289.jpg
276.jpg,pineapple,fresh,5,1,3.26,pineapple\Fresh\276.jpg
16.jpg,papaya,fresh,4,1,2.27,papaya\Fresh\16.jpg
298.jpg,mango,rotten,2,2,0.58,mango\Rotten\298.jpg
552.jpg,pineapple,rotten,5,2,-2.21,pineapple\Rotten\552.jpg
521.jpg,banana,rotten,1,2,0.17,banana\Rotten\521.jpg
187.jpg,pineapple,rotten,5,2,0.56,pineapple\Rotten\187.jpg
268.jpg,mango,unripe,2,0,6.62,mango\Unripe\268.jpg
140.jpg,orange,rotten,3,2,0.17,orange\Rotten\140.jpg
236.jpg,orange,fresh,3,1,4.8,orange\Fresh\236.jpg
195.jpg,orange,unripe,3,0,7.52,orange\Unripe\195.jpg
167.jpg,banana,rotten,1,2,-1.26,banana\Rotten\167.jpg
230.jpg,banana,fresh,1,1,3.12,banana\Fresh\230.jpg
216.jpg,mango,rotten,2,2,0.45,mango\Rotten\216.jpg
484.jpg,pineapple,unripe,5,0,6.46,pineapple\Unripe\484.jpg
333.jpg,banana,rotten,1,2,-1.43,banana\Rotten\333.jpg
26.jpg,orange,rotten,3,2,0.33,orange\Rotten\26.jpg
128.jpg,apple,unripe,0,0,9.62,apple\Unripe\128.jpg
459.jpg,orange,unripe,3,0,8.12,orange\Unripe\459.jpg
203.jpg,pineapple,fresh,5,1,2.94,pineapple\Fresh\203.jpg
107.jpg,papaya,unripe,4,0,5.3,papaya\Unripe\107.jpg
610.jpg,papaya,fresh,4,1,1.77,papaya\Fresh\610.jpg
389.jpg,apple,rotten,0,2,0.36,apple\Rotten\389.jpg
129.jpg,mango,unripe,2,0,6.55,mango\Unripe\129.jpg
320.jpg,pineapple,fresh,5,1,2.78,pineapple\Fresh\320.jpg
449.jpg,papaya,rotten,4,2,0.27,papaya\Rotten\449.jpg
221.jpg,mango,unripe,2,0,7.32,mango\Unripe\221.jpg
611.jpg,pineapple,unripe,5,0,5.63,pineapple\Unripe\611.jpg
67.jpg,papaya,rotten,4,2,0.62,papaya\Rotten\67.jpg
632.jpg,mango,unripe,2,0,7.23,mango\Unripe\632.jpg
135.jpg,mango,unripe,2,0,7.22,mango\Unripe\135.jpg
646.jpg,papaya,unripe,4,0,4.81,papaya\Unripe\646.jpg
114.jpg,banana,fresh,1,1,2.9,banana\Fresh\114.jpg
456.jpg,papaya,unripe,4,0,5.47,papaya\Unripe\456.jpg
534.jpg,papaya,unripe,4,0,5.17,papaya\Unripe\534.jpg
114.jpg,orange,rotten,3,2,-1.12,orange\Rotten\114.jpg
62.jpg,banana,fresh,1,1,2.78,banana\Fresh\62.jpg
482.jpg,mango,fresh,2,1,3.26,mango\Fresh\482.jpg
33.jpg,apple,rotten,0,2,0.17,apple\Rotten\33.jpg
338.jpg,papaya,fresh,4,1,2.16,papaya\Fresh\338.jpg
204.jpg,apple,rotten,0,2,0.36,apple\Rotten\204.jpg
548.jpg,banana,unripe,1,0,5.67,banana\Unripe\548.jpg
629.jpg,orange,unripe,3,0,7.92,orange\Unripe\629.jpg
409.jpg,papaya,rotten,4,2,-1.66,papaya\Rotten\409.jpg
15.jpg,mango,rotten,2,2,0.67,mango\Rotten\15.jpg
657.jpg,banana,unripe,1,0,6.45,banana\Unripe\657.jpg
217.jpg,apple,rotten,0,2,0.58,apple\Rotten\217.jpg
267.jpg,pineapple,unripe,5,0,6.37,pineapple\Unripe\267.jpg
116.jpg,mango,unripe,2,0,6.95,mango\Unripe\116.jpg
617.jpg,orange,unripe,3,0,8.47,orange\Unripe\617.jpg
424.jpg,mango,unripe,2,0,6.85,mango\Unripe\424.jpg
525.jpg,papaya,unripe,4,0,4.62,papaya\Unripe\525.jpg
446.jpg,apple,rotten,0,2,0.59,apple\Rotten\446.jpg
415.jpg,mango,unripe,2,0,6.73,mango\Unripe\415.jpg
608.jpg,orange,unripe,3,0,8.43,orange\Unripe\608.jpg
58.jpg,orange,fresh,3,1,5.0,orange\Fresh\58.jpg
643.jpg,pineapple,fresh,5,1,3.22,pineapple\Fresh\643.jpg
20.jpg,mango,unripe,2,0,6.67,mango\Unripe\20.jpg
37.jpg,pineapple,fresh,5,1,3.0,pineapple\Fresh\37.jpg
531.jpg,banana,unripe,1,0,6.27,banana\Unripe\531.jpg
64.jpg,banana,fresh,1,1,3.02,banana\Fresh\64.jpg
475.jpg,papaya,unripe,4,0,5.07,papaya\Unripe\475.jpg
13.jpg,banana,rotten,1,2,0.4,banana\Rotten\13.jpg
345.jpg,pineapple,rotten,5,2,0.78,pineapple\Rotten\345.jpg
204.jpg,pineapple,rotten,5,2,0.51,pineapple\Rotten\204.jpg
510.jpg,banana,rotten,1,2,0.58,banana\Rotten\510.jpg
595.jpg,banana,fresh,1,1,2.91,banana\Fresh\595.jpg
415.jpg,papaya,unripe,4,0,4.53,papaya\Unripe\415.jpg
302.jpg,papaya,fresh,4,1,1.98,papaya\Fresh\302.jpg
516.jpg,papaya,fresh,4,1,2.14,papaya\Fresh\516.jpg
270.jpg,banana,unripe,1,0,5.74,banana\Unripe\270.jpg
487.jpg,mango,fresh,2,1,3.11,mango\Fresh\487.jpg
261.jpg,banana,unripe,1,0,5.97,banana\Unripe\261.jpg
593.jpg,orange,unripe,3,0,7.67,orange\Unripe\593.jpg
117.jpg,papaya,rotten,4,2,0.56,papaya\Rotten\117.jpg
8.jpg,banana,unripe,1,0,6.12,banana\Unripe\8.jpg
483.jpg,apple,unripe,0,0,9.51,apple\Unripe\483.jpg
90.jpg,orange,fresh,3,1,5.16,orange\Fresh\90.jpg
376.jpg,apple,rotten,0,2,0.55,apple\Rotten\376.jpg
149.jpg,orange,rotten,3,2,0.06,orange\Rotten\149.jpg
84.jpg,mango,fresh,2,1,3.1,mango\Fresh\84.jpg
351.jpg,papaya,fresh,4,1,2.1,papaya\Fresh\351.jpg
676.jpg,banana,fresh,1,1,2.94,banana\Fresh\676.jpg
464.jpg,mango,unripe,2,0,7.45,mango\Unripe\464.jpg
124.jpg,papaya,rotten,4,2,0.52,papaya\Rotten\124.jpg
638.jpg,orange,unripe,3,0,8.3,orange\Unripe\638.jpg
315.jpg,apple,fresh,0,1,5.06,apple\Fresh\315.jpg
633.jpg,mango,rotten,2,2,0.21,mango\Rotten\633.jpg
300.jpg,banana,fresh,1,1,2.71,banana\Fresh\300.jpg
142.jpg,papaya,rotten,4,2,-1.65,papaya\Rotten\142.jpg
568.jpg,orange,rotten,3,2,0.3,orange\Rotten\568.jpg
341.jpg,orange,rotten,3,2,0.6,orange\Rotten\341.jpg
