image_name,fruit,stage,days_remaining
aug_0_1594.jpg,banana,unripe,6
aug_0_2839.jpg,banana,unripe,6
rotated_by_45_Screen Shot 2018-06-12 at 11.58.50 PM.png,orange,fresh,4
rotated_by_75_Screen Shot 2018-06-12 at 9.03.30 PM.png,banana,rotten,1
aug_0_301.jpg,banana,unripe,6
rotated_by_45_Screen Shot 2018-06-07 at 3.00.17 PM.png,apple,rotten,2
aug_0_1252.jpg,orange,unripe,8
rotated_by_75_Screen Shot 2018-06-08 at 5.06.19 PM.png,apple,fresh,5
100.jpg,papaya,unripe,6
aug_0_8963.jpg,banana,unripe,6
vertical_flip_Screen Shot 2018-06-12 at 9.50.31 PM.png,banana,fresh,3
rotated_by_45_Screen Shot 2018-06-08 at 5.18.16 PM.png,apple,fresh,5
aug_0_143.jpg,banana,unripe,6
Screen Shot 2018-06-12 at 11.37.36 PM.png,orange,rotten,2
rotated_by_30_Screen Shot 2018-06-12 at 11.19.47 PM.png,orange,rotten,2
rotated_by_75_Screen Shot 2018-06-12 at 9.02.32 PM.png,banana,rotten,1
vertical_flip_Screen Shot 2018-06-12 at 8.54.43 PM.png,banana,rotten,1
rotated_by_75_Screen Shot 2018-06-08 at 5.14.56 PM.png,apple,fresh,5
aug_0_3980.jpg,banana,unripe,6
rotated_by_30_Screen Shot 2018-06-12 at 11.52.40 PM.png,orange,fresh,4
saltandpepper_Screen Shot 2018-06-07 at 2.50.43 PM.png,apple,rotten,2
159.jpg,papaya,ripe,3
rotated_by_60_Screen Shot 2018-06-12 at 9.27.11 PM.png,banana,rotten,1
aug_0_1048.jpg,apple,unripe,10
379.jpg,papaya,unripe,6
rotated_by_45_Screen Shot 2018-06-12 at 11.38.34 PM.png,orange,rotten,2
saltandpepper_Screen Shot 2018-06-08 at 5.02.48 PM.png,apple,fresh,5
rotated_by_60_Screen Shot 2018-06-12 at 9.54.18 PM.png,banana,fresh,3
saltandpepper_Screen Shot 2018-06-12 at 8.49.59 PM.png,banana,rotten,1
rotated_by_45_Screen Shot 2018-06-08 at 2.45.58 PM.png,apple,rotten,2
aug_0_906.jpg,apple,unripe,10
vertical_flip_Screen Shot 2018-06-08 at 5.27.19 PM.png,apple,fresh,5
aug_0_9529.jpg,orange,unripe,8
rotated_by_60_Screen Shot 2018-06-12 at 9.00.44 PM.png,banana,rotten,1
rotated_by_75_Screen Shot 2018-06-12 at 8.55.21 PM.png,banana,rotten,1
198.jpg,papaya,ripe,3
rotated_by_45_Screen Shot 2018-06-13 at 12.08.02 AM.png,orange,fresh,4
saltandpepper_Screen Shot 2018-06-12 at 9.47.18 PM.png,banana,fresh,3
saltandpepper_Screen Shot 2018-06-08 at 5.18.58 PM.png,apple,fresh,5
aug_0_2226.jpg,banana,unripe,6
rotated_by_30_Screen Shot 2018-06-08 at 5.32.33 PM.png,apple,fresh,5
aug_0_4135.jpg,banana,unripe,6
rotated_by_30_Screen Shot 2018-06-12 at 9.13.04 PM.png,banana,rotten,1
rotated_by_75_Screen Shot 2018-06-12 at 11.32.09 PM.png,orange,rotten,2
rotated_by_15_Screen Shot 2018-06-07 at 2.52.00 PM.png,apple,rotten,2
aug_0_9314.jpg,orange,unripe,8
aug_0_4924.jpg,banana,unripe,6
aug_0_8447.jpg,orange,unripe,8
45.jpg,papaya,ripe,3
aug_0_9833.jpg,apple,unripe,10
Screen Shot 2018-06-08 at 5.25.33 PM.png,apple,fresh,5
Screen Shot 2018-06-13 at 12.01.36 AM.png,orange,fresh,4
rotated_by_45_Screen Shot 2018-06-12 at 9.04.15 PM.png,banana,rotten,1
rotated_by_30_Screen Shot 2018-06-12 at 8.48.46 PM.png,banana,rotten,1
aug_0_9356.jpg,banana,unripe,6
rotated_by_15_Screen Shot 2018-06-12 at 11.52.55 PM.png,orange,fresh,4
vertical_flip_Screen Shot 2018-06-13 at 12.09.05 AM.png,orange,fresh,4
108.jpg,papaya,unripe,6
aug_0_263.jpg,orange,unripe,8
aug_0_2185.jpg,banana,unripe,6
saltandpepper_Screen Shot 2018-06-08 at 5.11.41 PM.png,apple,fresh,5
aug_0_5164.jpg,apple,unripe,10
50.jpg,papaya,ripe,3
Screen Shot 2018-06-08 at 5.15.28 PM.png,apple,fresh,5
rotated_by_45_Screen Shot 2018-06-12 at 9.10.55 PM.png,banana,rotten,1
rotated_by_75_Screen Shot 2018-06-12 at 11.29.10 PM.png,orange,rotten,2
vertical_flip_Screen Shot 2018-06-12 at 11.44.16 PM.png,orange,rotten,2
translation_Screen Shot 2018-06-12 at 11.59.54 PM.png,orange,fresh,4
rotated_by_30_Screen Shot 2018-06-08 at 2.35.25 PM.png,apple,rotten,2
aug_0_9906.jpg,banana,unripe,6
vertical_flip_Screen Shot 2018-06-12 at 8.54.58 PM.png,banana,rotten,1
aug_0_7068.jpg,banana,unripe,6
325.jpg,papaya,unripe,6
rotated_by_30_Screen Shot 2018-06-08 at 5.15.45 PM.png,apple,fresh,5
rotated_by_30_Screen Shot 2018-06-08 at 5.22.35 PM.png,apple,fresh,5
166.jpg,papaya,unripe,6
aug_0_5016.jpg,apple,unripe,10
rotated_by_30_Screen Shot 2018-06-08 at 5.09.03 PM.png,apple,fresh,5
rotated_by_30_Screen Shot 2018-06-08 at 5.14.07 PM.png,apple,fresh,5
aug_0_5506.jpg,banana,unripe,6
saltandpepper_Screen Shot 2018-06-08 at 5.27.19 PM.png,apple,fresh,5
aug_0_9044.jpg,apple,unripe,10
137.jpg,papaya,ripe,3
translation_Screen Shot 2018-06-08 at 5.08.05 PM.png,apple,fresh,5
rotated_by_75_Screen Shot 2018-06-12 at 9.54.35 PM.png,banana,fresh,3
rotated_by_60_Screen Shot 2018-06-12 at 10.05.35 PM.png,banana,fresh,3
translation_Screen Shot 2018-06-12 at 9.47.00 PM.png,banana,fresh,3
aug_0_334.jpg,banana,unripe,6
vertical_flip_Screen Shot 2018-06-08 at 5.21.44 PM.png,apple,fresh,5
338.jpg,papaya,ripe,3
rotated_by_30_Screen Shot 2018-06-08 at 2.48.15 PM.png,apple,rotten,2
vertical_flip_Screen Shot 2018-06-12 at 9.13.44 PM.png,banana,rotten,1
Screen Shot 2018-06-12 at 8.49.52 PM.png,banana,rotten,1
rotated_by_60_Screen Shot 2018-06-12 at 11.36.19 PM.png,orange,rotten,2
saltandpepper_Screen Shot 2018-06-08 at 2.29.55 PM.png,apple,rotten,2
rotated_by_15_Screen Shot 2018-06-12 at 11.39.02 PM.png,orange,rotten,2
rotated_by_75_Screen Shot 2018-06-08 at 2.34.42 PM.png,apple,rotten,2
rotated_by_30_Screen Shot 2018-06-12 at 9.19.17 PM.png,banana,rotten,1
aug_0_325.jpg,banana,unripe,6
aug_0_1449.jpg,banana,unripe,6
vertical_flip_Screen Shot 2018-06-12 at 11.29.14 PM.png,orange,rotten,2
121.jpg,papaya,ripe,3
rotated_by_30_Screen Shot 2018-06-12 at 11.32.21 PM.png,orange,rotten,2
aug_0_9382.jpg,orange,unripe,8
rotated_by_30_Screen Shot 2018-06-12 at 11.46.04 PM.png,orange,rotten,2
111.jpg,papaya,unripe,6
Screen Shot 2018-06-08 at 5.23.14 PM.png,apple,fresh,5
vertical_flip_Screen Shot 2018-06-12 at 11.46.04 PM.png,orange,rotten,2
aug_0_8007.jpg,apple,unripe,10
rotated_by_75_Screen Shot 2018-06-13 at 12.00.54 AM.png,orange,fresh,4
rotated_by_60_Screen Shot 2018-06-08 at 5.21.31 PM.png,apple,fresh,5
saltandpepper_Screen Shot 2018-06-12 at 9.41.18 PM.png,banana,fresh,3
aug_0_1394.jpg,apple,unripe,10
aug_0_3603.jpg,orange,unripe,8
319.jpg,papaya,unripe,6
aug_0_5561.jpg,apple,unripe,10
aug_0_9892.jpg,apple,unripe,10
translation_Screen Shot 2018-06-08 at 5.06.40 PM.png,apple,fresh,5
saltandpepper_Screen Shot 2018-06-08 at 2.45.58 PM.png,apple,rotten,2
5.jpg,papaya,ripe,3
rotated_by_15_Screen Shot 2018-06-12 at 8.53.47 PM.png,banana,rotten,1
Screen Shot 2018-06-12 at 9.46.48 PM.png,banana,fresh,3
vertical_flip_Screen Shot 2018-06-08 at 2.31.03 PM.png,apple,rotten,2
aug_0_8607.jpg,orange,unripe,8
aug_0_8384.jpg,banana,unripe,6
Screen Shot 2018-06-07 at 3.01.09 PM.png,apple,rotten,2
vertical_flip_Screen Shot 2018-06-07 at 2.47.27 PM.png,apple,rotten,2
99.jpg,papaya,unripe,6
Screen Shot 2018-06-13 at 12.00.23 AM.png,orange,fresh,4
vertical_flip_Screen Shot 2018-06-12 at 8.49.59 PM.png,banana,rotten,1
rotated_by_30_Screen Shot 2018-06-07 at 2.59.52 PM.png,apple,rotten,2
vertical_flip_Screen Shot 2018-06-12 at 11.26.36 PM.png,orange,rotten,2
202.jpg,papaya,ripe,3
Screen Shot 2018-06-13 at 12.17.51 AM.png,orange,fresh,4
saltandpepper_Screen Shot 2018-06-07 at 2.25.16 PM.png,apple,rotten,2
rotated_by_45_Screen Shot 2018-06-12 at 11.55.58 PM.png,orange,fresh,4
Screen Shot 2018-06-07 at 3.00.17 PM.png,apple,rotten,2
aug_0_5995.jpg,banana,unripe,6
aug_0_5949.jpg,apple,unripe,10
313.jpg,papaya,ripe,3
rotated_by_60_Screen Shot 2018-06-12 at 9.54.35 PM.png,banana,fresh,3
291.jpg,papaya,unripe,6
rotated_by_15_Screen Shot 2018-06-12 at 11.45.57 PM.png,orange,rotten,2
aug_0_9884.jpg,apple,unripe,10
rotated_by_15_Screen Shot 2018-06-08 at 5.33.47 PM.png,apple,fresh,5
aug_0_7114.jpg,orange,unripe,8
rotated_by_30_Screen Shot 2018-06-12 at 9.28.04 PM.png,banana,rotten,1
Screen Shot 2018-06-12 at 11.45.28 PM.png,orange,rotten,2
184.jpg,papaya,unripe,6
aug_0_772.jpg,apple,unripe,10
aug_0_6938.jpg,banana,unripe,6
saltandpepper_Screen Shot 2018-06-12 at 9.48.26 PM.png,banana,fresh,3
rotated_by_15_Screen Shot 2018-06-08 at 2.50.55 PM.png,apple,rotten,2
rotated_by_15_Screen Shot 2018-06-07 at 2.46.12 PM.png,apple,rotten,2
352.jpg,papaya,unripe,6
aug_0_291.jpg,banana,unripe,6
aug_0_4695.jpg,banana,unripe,6
aug_0_5199.jpg,orange,unripe,8
rotated_by_30_Screen Shot 2018-06-08 at 5.21.06 PM.png,apple,fresh,5
saltandpepper_Screen Shot 2018-06-12 at 11.57.52 PM.png,orange,fresh,4
vertical_flip_Screen Shot 2018-06-07 at 2.56.16 PM.png,apple,rotten,2
rotated_by_30_Screen Shot 2018-06-08 at 2.28.00 PM.png,apple,rotten,2
aug_0_2517.jpg,banana,unripe,6
aug_0_1897.jpg,orange,unripe,8
vertical_flip_Screen Shot 2018-06-12 at 9.45.46 PM.png,banana,fresh,3
rotated_by_30_Screen Shot 2018-06-12 at 8.56.54 PM.png,banana,rotten,1
333.jpg,papaya,ripe,3
vertical_flip_Screen Shot 2018-06-12 at 9.25.28 PM.png,banana,rotten,1
141.jpg,papaya,ripe,3
aug_0_2935.jpg,banana,unripe,6
aug_0_1009.jpg,orange,unripe,8
aug_0_8091.jpg,apple,unripe,10
rotated_by_30_Screen Shot 2018-06-12 at 11.59.19 PM.png,orange,fresh,4
22.jpg,papaya,unripe,6
rotated_by_60_Screen Shot 2018-06-12 at 9.54.50 PM.png,banana,fresh,3
rotated_by_15_Screen Shot 2018-06-07 at 2.23.02 PM.png,apple,rotten,2
aug_0_1525.jpg,orange,unripe,8
aug_0_3603.jpg,banana,unripe,6
rotated_by_60_Screen Shot 2018-06-12 at 10.06.19 PM.png,banana,fresh,3
vertical_flip_Screen Shot 2018-06-12 at 11.21.48 PM.png,orange,rotten,2
aug_0_2410.jpg,orange,unripe,8
rotated_by_15_Screen Shot 2018-06-08 at 2.47.03 PM.png,apple,rotten,2
aug_0_3159.jpg,banana,unripe,6
382.jpg,papaya,ripe,3
aug_0_1253.jpg,orange,unripe,8
rotated_by_45_Screen Shot 2018-06-07 at 2.22.00 PM.png,apple,rotten,2
rotated_by_45_Screen Shot 2018-06-08 at 5.28.32 PM.png,apple,fresh,5
translation_Screen Shot 2018-06-12 at 10.05.41 PM.png,banana,fresh,3
rotated_by_60_Screen Shot 2018-06-07 at 2.59.52 PM.png,apple,rotten,2
saltandpepper_Screen Shot 2018-06-12 at 9.40.10 PM.png,banana,fresh,3
aug_0_7283.jpg,apple,unripe,10
aug_0_9442.jpg,banana,unripe,6
rotated_by_30_Screen Shot 2018-06-08 at 5.18.42 PM.png,apple,fresh,5
aug_0_3635.jpg,orange,unripe,8
aug_0_4412.jpg,banana,unripe,6
rotated_by_45_Screen Shot 2018-06-12 at 9.17.19 PM.png,banana,rotten,1
Screen Shot 2018-06-08 at 5.08.05 PM.png,apple,fresh,5
179.jpg,papaya,ripe,3
aug_0_9687.jpg,banana,unripe,6
aug_0_7480.jpg,apple,unripe,10
translation_Screen Shot 2018-06-07 at 2.42.58 PM.png,apple,rotten,2
181.jpg,papaya,ripe,3
aug_0_7949.jpg,banana,unripe,6
Screen Shot 2018-06-08 at 5.12.20 PM.png,apple,fresh,5
400.jpg,papaya,ripe,3
aug_0_636.jpg,apple,unripe,10
aug_0_8442.jpg,orange,unripe,8
aug_0_6692.jpg,orange,unripe,8
translation_Screen Shot 2018-06-12 at 11.37.45 PM.png,orange,rotten,2
rotated_by_60_Screen Shot 2018-06-12 at 9.55.13 PM.png,banana,fresh,3
aug_0_6288.jpg,apple,unripe,10
rotated_by_30_Screen Shot 2018-06-13 at 12.03.01 AM.png,orange,fresh,4
aug_0_826.jpg,orange,unripe,8
aug_0_5964.jpg,banana,unripe,6
aug_0_5935.jpg,orange,unripe,8
Screen Shot 2018-06-13 at 12.06.10 AM.png,orange,fresh,4
Screen Shot 2018-06-08 at 5.04.05 PM.png,apple,fresh,5
rotated_by_45_Screen Shot 2018-06-07 at 2.59.09 PM.png,apple,rotten,2
aug_0_5526.jpg,banana,unripe,6
rotated_by_30_Screen Shot 2018-06-08 at 5.03.47 PM.png,apple,fresh,5
aug_0_3544.jpg,orange,unripe,8
aug_0_9776.jpg,apple,unripe,10
rotated_by_60_Screen Shot 2018-06-12 at 9.14.22 PM.png,banana,rotten,1
aug_0_1681.jpg,apple,unripe,10
aug_0_7658.jpg,banana,unripe,6
rotated_by_45_Screen Shot 2018-06-12 at 11.25.11 PM.png,orange,rotten,2
Screen Shot 2018-06-08 at 5.10.03 PM.png,apple,fresh,5
rotated_by_30_Screen Shot 2018-06-08 at 5.06.47 PM.png,apple,fresh,5
rotated_by_60_Screen Shot 2018-06-13 at 12.20.39 AM.png,orange,fresh,4
aug_0_3135.jpg,apple,unripe,10
rotated_by_60_Screen Shot 2018-06-08 at 2.36.31 PM.png,apple,rotten,2
saltandpepper_Screen Shot 2018-06-08 at 2.37.53 PM.png,apple,rotten,2
rotated_by_60_Screen Shot 2018-06-08 at 2.52.43 PM.png,apple,rotten,2
rotated_by_45_Screen Shot 2018-06-08 at 5.12.41 PM.png,apple,fresh,5
aug_0_920.jpg,apple,unripe,10
373.jpg,papaya,unripe,6
48.jpg,papaya,unripe,6
translation_Screen Shot 2018-06-12 at 9.46.07 PM.png,banana,fresh,3
rotated_by_30_Screen Shot 2018-06-12 at 9.07.19 PM.png,banana,rotten,1
aug_0_5363.jpg,banana,unripe,6
rotated_by_30_Screen Shot 2018-06-08 at 5.24.26 PM.png,apple,fresh,5
translation_Screen Shot 2018-06-08 at 4.59.57 PM.png,apple,fresh,5
aug_0_5760.jpg,banana,unripe,6
Screen Shot 2018-06-12 at 11.39.19 PM.png,orange,rotten,2
aug_0_634.jpg,banana,unripe,6
rotated_by_45_Screen Shot 2018-06-12 at 11.43.49 PM.png,orange,rotten,2
rotated_by_15_Screen Shot 2018-06-12 at 9.13.34 PM.png,banana,rotten,1
rotated_by_45_Screen Shot 2018-06-08 at 5.09.03 PM.png,apple,fresh,5
190.jpg,papaya,ripe,3
saltandpepper_Screen Shot 2018-06-12 at 11.31.48 PM.png,orange,rotten,2
rotated_by_75_Screen Shot 2018-06-13 at 12.02.20 AM.png,orange,fresh,4
rotated_by_30_Screen Shot 2018-06-13 at 12.16.22 AM.png,orange,fresh,4
vertical_flip_Screen Shot 2018-06-12 at 11.52.51 PM.png,orange,fresh,4
rotated_by_30_Screen Shot 2018-06-12 at 9.46.02 PM.png,banana,fresh,3
rotated_by_45_Screen Shot 2018-06-08 at 5.11.35 PM.png,apple,fresh,5
aug_0_3839.jpg,apple,unripe,10
vertical_flip_Screen Shot 2018-06-12 at 9.10.10 PM.png,banana,rotten,1
aug_0_9932.jpg,orange,unripe,8
55.jpg,papaya,unripe,6
22.jpg,papaya,ripe,3
aug_0_711.jpg,apple,unripe,10
rotated_by_45_Screen Shot 2018-06-12 at 11.29.51 PM.png,orange,rotten,2
rotated_by_60_Screen Shot 2018-06-08 at 2.27.44 PM.png,apple,rotten,2
rotated_by_30_Screen Shot 2018-06-12 at 11.25.38 PM.png,orange,rotten,2
rotated_by_75_Screen Shot 2018-06-08 at 5.12.41 PM.png,apple,fresh,5
aug_0_7517.jpg,apple,unripe,10
aug_0_4888.jpg,banana,unripe,6
aug_0_2554.jpg,apple,unripe,10
rotated_by_60_Screen Shot 2018-06-08 at 5.23.31 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-12 at 11.50.54 PM.png,orange,fresh,4
rotated_by_75_Screen Shot 2018-06-12 at 11.33.00 PM.png,orange,rotten,2
saltandpepper_Screen Shot 2018-06-12 at 11.58.02 PM.png,orange,fresh,4
Screen Shot 2018-06-12 at 9.09.09 PM.png,banana,rotten,1
rotated_by_60_Screen Shot 2018-06-12 at 11.30.28 PM.png,orange,rotten,2
translation_Screen Shot 2018-06-13 at 12.10.04 AM.png,orange,fresh,4
rotated_by_60_Screen Shot 2018-06-08 at 5.33.55 PM.png,apple,fresh,5
rotated_by_45_Screen Shot 2018-06-07 at 2.42.58 PM.png,apple,rotten,2
aug_0_8974.jpg,orange,unripe,8
361.jpg,papaya,ripe,3
rotated_by_30_Screen Shot 2018-06-07 at 2.43.13 PM.png,apple,rotten,2
saltandpepper_Screen Shot 2018-06-12 at 9.51.36 PM.png,banana,fresh,3
rotated_by_45_Screen Shot 2018-06-12 at 11.45.42 PM.png,orange,rotten,2
aug_0_3674.jpg,apple,unripe,10
241.jpg,papaya,unripe,6
204.jpg,papaya,unripe,6
rotated_by_45_Screen Shot 2018-06-07 at 2.37.11 PM.png,apple,rotten,2
aug_0_8621.jpg,apple,unripe,10
vertical_flip_Screen Shot 2018-06-12 at 9.45.22 PM.png,banana,fresh,3
Screen Shot 2018-06-12 at 9.48.39 PM.png,banana,fresh,3
saltandpepper_Screen Shot 2018-06-13 at 12.05.46 AM.png,orange,fresh,4
aug_0_1196.jpg,banana,unripe,6
aug_0_827.jpg,apple,unripe,10
rotated_by_15_Screen Shot 2018-06-08 at 5.10.53 PM.png,apple,fresh,5
translation_Screen Shot 2018-06-08 at 2.31.08 PM.png,apple,rotten,2
aug_0_7844.jpg,banana,unripe,6
translation_Screen Shot 2018-06-12 at 11.38.46 PM.png,orange,rotten,2
rotated_by_30_Screen Shot 2018-06-08 at 5.11.16 PM.png,apple,fresh,5
vertical_flip_Screen Shot 2018-06-08 at 5.25.37 PM.png,apple,fresh,5
132.jpg,papaya,unripe,6
translation_Screen Shot 2018-06-12 at 11.19.01 PM.png,orange,rotten,2
rotated_by_45_Screen Shot 2018-06-13 at 12.07.32 AM.png,orange,fresh,4
translation_Screen Shot 2018-06-12 at 9.21.10 PM.png,banana,rotten,1
rotated_by_15_Screen Shot 2018-06-12 at 8.57.54 PM.png,banana,rotten,1
aug_0_5441.jpg,banana,unripe,6
305.jpg,papaya,unripe,6
Screen Shot 2018-06-12 at 11.41.08 PM.png,orange,rotten,2
rotated_by_15_Screen Shot 2018-06-12 at 10.02.01 PM.png,banana,fresh,3
saltandpepper_Screen Shot 2018-06-12 at 11.52.12 PM.png,orange,fresh,4
rotated_by_45_Screen Shot 2018-06-08 at 2.52.57 PM.png,apple,rotten,2
Screen Shot 2018-06-12 at 9.03.30 PM.png,banana,rotten,1
rotated_by_45_Screen Shot 2018-06-13 at 12.17.55 AM.png,orange,fresh,4
rotated_by_45_Screen Shot 2018-06-07 at 3.04.47 PM.png,apple,rotten,2
rotated_by_30_Screen Shot 2018-06-12 at 9.08.59 PM.png,banana,rotten,1
Screen Shot 2018-06-12 at 9.52.58 PM.png,banana,fresh,3
rotated_by_45_Screen Shot 2018-06-07 at 2.40.55 PM.png,apple,rotten,2
Screen Shot 2018-06-08 at 2.21.33 PM.png,apple,rotten,2
rotated_by_30_Screen Shot 2018-06-13 at 12.19.17 AM.png,orange,fresh,4
aug_0_1574.jpg,apple,unripe,10
aug_0_9917.jpg,apple,unripe,10
aug_0_5937.jpg,orange,unripe,8
48.jpg,papaya,ripe,3
aug_0_6256.jpg,banana,unripe,6
rotated_by_75_Screen Shot 2018-06-12 at 9.55.27 PM.png,banana,fresh,3
rotated_by_75_Screen Shot 2018-06-12 at 9.50.04 PM.png,banana,fresh,3
rotated_by_30_Screen Shot 2018-06-12 at 11.33.06 PM.png,orange,rotten,2
translation_Screen Shot 2018-06-07 at 3.00.00 PM.png,apple,rotten,2
rotated_by_45_Screen Shot 2018-06-12 at 9.03.06 PM.png,banana,rotten,1
aug_0_5836.jpg,apple,unripe,10
rotated_by_75_Screen Shot 2018-06-08 at 2.26.34 PM.png,apple,rotten,2
vertical_flip_Screen Shot 2018-06-12 at 9.02.38 PM.png,banana,rotten,1
rotated_by_30_Screen Shot 2018-06-08 at 5.06.23 PM.png,apple,fresh,5
rotated_by_15_Screen Shot 2018-06-08 at 5.28.42 PM.png,apple,fresh,5
aug_0_3902.jpg,apple,unripe,10
rotated_by_75_Screen Shot 2018-06-08 at 5.34.01 PM.png,apple,fresh,5
307.jpg,papaya,unripe,6
rotated_by_15_Screen Shot 2018-06-12 at 11.32.09 PM.png,orange,rotten,2
translation_Screen Shot 2018-06-12 at 11.33.12 PM.png,orange,rotten,2
rotated_by_45_Screen Shot 2018-06-12 at 9.02.44 PM.png,banana,rotten,1
aug_0_8369.jpg,orange,unripe,8
rotated_by_15_Screen Shot 2018-06-12 at 11.41.17 PM.png,orange,rotten,2
aug_0_4069.jpg,banana,unripe,6
aug_0_3258.jpg,orange,unripe,8
aug_0_8206.jpg,orange,unripe,8
rotated_by_15_Screen Shot 2018-06-12 at 8.55.21 PM.png,banana,rotten,1
aug_0_358.jpg,apple,unripe,10
Screen Shot 2018-06-08 at 2.29.55 PM.png,apple,rotten,2
aug_0_8279.jpg,apple,unripe,10
translation_Screen Shot 2018-06-12 at 9.59.17 PM.png,banana,fresh,3
aug_0_9783.jpg,banana,unripe,6
rotated_by_30_Screen Shot 2018-06-13 at 12.16.16 AM.png,orange,fresh,4
rotated_by_45_Screen Shot 2018-06-08 at 2.49.27 PM.png,apple,rotten,2
saltandpepper_Screen Shot 2018-06-12 at 11.36.42 PM.png,orange,rotten,2
264.jpg,papaya,unripe,6
Screen Shot 2018-06-12 at 11.40.36 PM.png,orange,rotten,2
aug_0_2144.jpg,apple,unripe,10
rotated_by_15_Screen Shot 2018-06-12 at 9.22.25 PM.png,banana,rotten,1
rotated_by_75_Screen Shot 2018-06-08 at 5.32.43 PM.png,apple,fresh,5
aug_0_1224.jpg,banana,unripe,6
56.jpg,papaya,ripe,3
rotated_by_30_Screen Shot 2018-06-08 at 5.01.22 PM.png,apple,fresh,5
vertical_flip_Screen Shot 2018-06-12 at 9.45.40 PM.png,banana,fresh,3
rotated_by_30_Screen Shot 2018-06-13 at 12.15.01 AM.png,orange,fresh,4
rotated_by_75_Screen Shot 2018-06-12 at 9.21.00 PM.png,banana,rotten,1
223.jpg,papaya,unripe,6
195.jpg,papaya,ripe,3
aug_0_5389.jpg,apple,unripe,10
rotated_by_60_Screen Shot 2018-06-12 at 9.56.28 PM.png,banana,fresh,3
translation_Screen Shot 2018-06-07 at 2.33.47 PM.png,apple,rotten,2
aug_0_3040.jpg,orange,unripe,8
rotated_by_60_Screen Shot 2018-06-12 at 9.25.23 PM.png,banana,rotten,1
aug_0_6410.jpg,banana,unripe,6
rotated_by_45_Screen Shot 2018-06-12 at 11.29.31 PM.png,orange,rotten,2
aug_0_4853.jpg,banana,unripe,6
aug_0_8454.jpg,apple,unripe,10
aug_0_364.jpg,apple,unripe,10
rotated_by_60_Screen Shot 2018-06-07 at 3.01.38 PM.png,apple,rotten,2
341.jpg,papaya,unripe,6
218.jpg,papaya,ripe,3
aug_0_1637.jpg,orange,unripe,8
rotated_by_15_Screen Shot 2018-06-07 at 3.06.30 PM.png,apple,rotten,2
Screen Shot 2018-06-12 at 9.46.02 PM.png,banana,fresh,3
rotated_by_30_Screen Shot 2018-06-12 at 8.51.21 PM.png,banana,rotten,1
saltandpepper_Screen Shot 2018-06-12 at 9.44.30 PM.png,banana,fresh,3
aug_0_3987.jpg,banana,unripe,6
aug_0_1728.jpg,banana,unripe,6
saltandpepper_Screen Shot 2018-06-08 at 5.09.47 PM.png,apple,fresh,5
saltandpepper_Screen Shot 2018-06-08 at 2.52.43 PM.png,apple,rotten,2
Screen Shot 2018-06-12 at 9.10.41 PM.png,banana,rotten,1
